endTime,artistName,trackName,msPlayed
2023-11-28 08:49,The Rolling Stones,Rolling Stone Blues,1074
2023-11-28 08:49,The Rolling Stones,Live By The Sword,1601
2023-11-28 08:49,The Rolling Stones,Angie - Remastered 2009,2014
2023-11-28 08:49,The Rolling Stones,Whole Wide World,1619
2023-11-28 08:59,The Rolling Stones,Depending On You,2282
2023-11-28 18:09,Miles Davis Quintet,It Never Entered My Mind,16848
2023-11-28 18:12,Thelonious Monk,'Round Midnight,193840
2023-11-28 18:15,Chet Atkins,Jam Man,199493
2023-11-28 18:20,Yusef Lateef,Othelia - Remastered,275600
2023-11-28 18:23,Mulatu Astatke,Yègellé Tezeta,194293
2023-11-28 18:30,The Dave Brubeck Quartet,Take Five,324133
2023-11-28 18:32,Charlie Parker,Summertime,167121
2023-11-28 18:35,Dizzy Gillespie,All The Things You Are,169506
2023-11-28 18:39,Frank Zappa,Cletus Awreetus-Awrightus,176453
2023-11-28 18:45,John McLaughlin,The Way of the Pilgrim,315200
2023-11-28 18:52,John Coltrane,"A Love Supreme, Pt. I – Acknowledgement",462866
2023-11-28 19:01,Herbie Mann,Memphis Underground,429000
2023-11-28 19:04,Steely Dan,Doctor Wu,234640
2023-11-28 19:05,Oliver Nelson,Stolen Moments,40553
2023-11-28 19:12,Hank Mobley,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,369386
2023-11-28 19:16,Tom Waits,New Coat Of Paint,202960
2023-11-28 19:21,Jean-Luc Ponty,Mirage,294000
2023-11-28 19:23,The Lounge Lizards,Do The Wrong Thing,162306
2023-11-28 19:31,John McLaughlin,Peace One,438459
2023-11-28 19:36,Miles Davis,Tomaas,335533
2023-11-28 19:42,Joachim Kühn,Rabih's Delight,288773
2023-11-28 19:48,Joachim Kühn,A Live Experience,362720
2023-11-28 19:49,Majid Bekkas,Ali ya ali,32604
2023-11-28 19:56,Joachim Kühn,Youmala,378626
2023-11-28 20:07,Joachim Kühn,Hamdouchi,52287
2023-11-29 05:10,Gentle Giant,Why Not?,163
2023-11-29 05:10,The Kinks,Drivin' (2019 Remaster),1378
2023-11-29 05:11,David Byrne,Light Bath,34712
2023-11-29 05:11,Sun Ra,Angels and Demons at Play,117130
2023-11-29 05:17,Ali Farka Touré,Bonde (with Ry Cooder),328826
2023-11-29 05:24,John McLaughlin,Peace One,438459
2023-11-29 05:30,Paul Simon,Diamonds on the Soles of Her Shoes,349280
2023-11-29 05:34,Willy DeVille,Hey Joe,253045
2023-11-29 05:37,Hugh Masekela,Grazing In The Grass,157773
2023-11-29 05:41,Scott Walker,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),220573
2023-11-29 05:44,Irma Thomas,Ruler Of My Heart,159733
2023-11-29 05:47,Ry Cooder,"Paris, Texas",174760
2023-11-29 05:52,Os Mutantes,A Minha Menina,284986
2023-11-29 05:58,Mulatu Astatke,Yègellé Tezeta,14045
2023-11-29 05:58,Mulatu Astatke,Yèkèrmo Sèw,253386
2023-11-29 06:01,Paul Simon,Gumboots (with Boyoyo Boys),164826
2023-11-29 06:02,Bob Dylan,Wigwam,15875
2023-11-29 06:02,Paul Simon,Under African Skies,24994
2023-11-29 06:06,Mick Jagger,Think,179053
2023-11-29 06:12,The Mothers Of Invention,Trouble Every Day,350053
2023-11-29 06:17,Pearl Jam,Corduroy - Remastered,277586
2023-11-29 06:28,The Black Crowes,Sometimes Salvation,284000
2023-11-29 06:36,Yusef Lateef,Like It Is - Remastered,452533
2023-11-29 06:43,Traffic,Nowhere Is Their Freedom,420426
2023-11-29 06:45,"Blood, Sweat & Tears","Variation on a Theme by Erik Satie (1st Movement - Adapted from ""Trois Gymnopedies"")",99893
2023-11-29 06:47,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-11-29 06:53,Miles Davis Quintet,It Never Entered My Mind,323186
2023-11-29 07:00,Yusef Lateef,Nubian Lady - 1972,398533
2023-11-29 07:01,Yusef Lateef,Bishop School,19745
2023-11-29 07:06,Yusef Lateef,The Plum Blossom - Rudy Van Gelder Remaster,15336
2023-11-29 07:06,The Rolling Stones,Mess It Up,243687
2023-11-29 07:10,Hampton Hawes Trio,I Got Rhythm,198560
2023-11-29 07:10,Dizzy Gillespie,Groovin' High,6905
