,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist
2102,0.708,0.523,5,-9.832,1,0.174,0.213,0.735,0.0892,0.962,146.306,audio_features,0V73Lo8BhIOHM83aOlq8nm,spotify:track:0V73Lo8BhIOHM83aOlq8nm,https://api.spotify.com/v1/tracks/0V73Lo8BhIOHM83aOlq8nm,https://api.spotify.com/v1/audio-analysis/0V73Lo8BhIOHM83aOlq8nm,173157,4,Acid Rock,The Funkees
2104,0.766,0.742,5,-8.458,1,0.0428,0.178,0.02,0.0916,0.614,100.024,audio_features,1Y1Sy4TnKyBaWStIKDJ77r,spotify:track:1Y1Sy4TnKyBaWStIKDJ77r,https://api.spotify.com/v1/tracks/1Y1Sy4TnKyBaWStIKDJ77r,https://api.spotify.com/v1/audio-analysis/1Y1Sy4TnKyBaWStIKDJ77r,233680,4,Never (Lagos Never Gonna Be the Same),Tony Allen
2105,0.719,0.634,10,-9.476,1,0.0298,0.294,0.211,0.172,0.95,120.016,audio_features,2iDBHgfEK3mVKO4z3EpLrm,spotify:track:2iDBHgfEK3mVKO4z3EpLrm,https://api.spotify.com/v1/tracks/2iDBHgfEK3mVKO4z3EpLrm,https://api.spotify.com/v1/audio-analysis/2iDBHgfEK3mVKO4z3EpLrm,318400,4,Secret Agent - 2022 - Remaster,Tony Allen
2106,0.734,0.813,2,-6.071,0,0.0488,0.263,0.23,0.205,0.82,104.285,audio_features,4Maj54gxqVxtDkV7NVhuGA,spotify:track:4Maj54gxqVxtDkV7NVhuGA,https://api.spotify.com/v1/tracks/4Maj54gxqVxtDkV7NVhuGA,https://api.spotify.com/v1/audio-analysis/4Maj54gxqVxtDkV7NVhuGA,188345,4,In The Jungle (Instrumental),The Hygrades
2107,0.77,0.735,8,-8.049,1,0.14,0.597,0.0201,0.127,0.676,93.034,audio_features,2aix579UvviwgledQnNadv,spotify:track:2aix579UvviwgledQnNadv,https://api.spotify.com/v1/tracks/2aix579UvviwgledQnNadv,https://api.spotify.com/v1/audio-analysis/2aix579UvviwgledQnNadv,492293,4,Fefe Naa Efe,Fela Kuti
2108,0.653,0.875,9,-5.232,1,0.125,0.0165,0.0317,0.377,0.792,116.956,audio_features,03P5b745wtD0qS5IdNtrh9,spotify:track:03P5b745wtD0qS5IdNtrh9,https://api.spotify.com/v1/tracks/03P5b745wtD0qS5IdNtrh9,https://api.spotify.com/v1/audio-analysis/03P5b745wtD0qS5IdNtrh9,373333,4,Greetings,Joni Haastrup
2117,0.519,0.275,5,-15.431,0,0.0371,0.596,0.618,0.223,0.0754,100.606,audio_features,3qvloAmvFZWsiXYgSKx1mt,spotify:track:3qvloAmvFZWsiXYgSKx1mt,https://api.spotify.com/v1/tracks/3qvloAmvFZWsiXYgSKx1mt,https://api.spotify.com/v1/audio-analysis/3qvloAmvFZWsiXYgSKx1mt,134400,4,Voyager,The Alan Parsons Project
2122,0.488,0.892,2,-7.131,1,0.0496,0.0763,0.486,0.266,0.675,132.554,audio_features,05BTaDBhGylMDjupCczCwC,spotify:track:05BTaDBhGylMDjupCczCwC,https://api.spotify.com/v1/tracks/05BTaDBhGylMDjupCczCwC,https://api.spotify.com/v1/audio-analysis/05BTaDBhGylMDjupCczCwC,285053,4,Misty Mountain Hop - Alternate Mix,Led Zeppelin
2123,0.22,0.581,10,-5.877,1,0.0374,0.513,0.0,0.168,0.445,186.427,audio_features,4CuO8TINNqM3D7aUdNQ3zG,spotify:track:4CuO8TINNqM3D7aUdNQ3zG,https://api.spotify.com/v1/tracks/4CuO8TINNqM3D7aUdNQ3zG,https://api.spotify.com/v1/audio-analysis/4CuO8TINNqM3D7aUdNQ3zG,195533,4,I Just Wasn't Made For These Times - Mono,The Beach Boys
2124,0.357,0.331,5,-11.66,1,0.0294,0.61,0.0396,0.0952,0.147,150.315,audio_features,2g3JAKjKruTL40VffoGLmg,spotify:track:2g3JAKjKruTL40VffoGLmg,https://api.spotify.com/v1/tracks/2g3JAKjKruTL40VffoGLmg,https://api.spotify.com/v1/audio-analysis/2g3JAKjKruTL40VffoGLmg,132949,4,Blue Sunday,The Doors
2125,0.429,0.263,5,-15.977,1,0.0394,0.958,0.0138,0.0867,0.174,90.76,audio_features,4WuqxbvNoUzuhfMmfylDBk,spotify:track:4WuqxbvNoUzuhfMmfylDBk,https://api.spotify.com/v1/tracks/4WuqxbvNoUzuhfMmfylDBk,https://api.spotify.com/v1/audio-analysis/4WuqxbvNoUzuhfMmfylDBk,174000,4,Unholy Faces,Florist
2129,0.117,0.243,6,-11.335,1,0.0353,0.0985,0.00615,0.0934,0.102,85.94,audio_features,6gDRRyg6bSODdwbuUBupoU,spotify:track:6gDRRyg6bSODdwbuUBupoU,https://api.spotify.com/v1/tracks/6gDRRyg6bSODdwbuUBupoU,https://api.spotify.com/v1/audio-analysis/6gDRRyg6bSODdwbuUBupoU,174293,3,Don't Talk (Put Your Head On My Shoulder) - Mono,The Beach Boys
2130,0.405,0.802,7,-6.867,1,0.0523,0.154,0.122,0.295,0.665,127.714,audio_features,1gnP3cx9uzFAVll8OfBcqz,spotify:track:1gnP3cx9uzFAVll8OfBcqz,https://api.spotify.com/v1/tracks/1gnP3cx9uzFAVll8OfBcqz,https://api.spotify.com/v1/audio-analysis/1gnP3cx9uzFAVll8OfBcqz,203973,4,This Time Tomorrow - 2020 Stereo Remaster,The Kinks
2131,0.305,0.622,2,-8.908,1,0.03,0.00349,0.0129,0.0992,0.274,102.521,audio_features,6Dyg43VP3iKxWQhF2b160J,spotify:track:6Dyg43VP3iKxWQhF2b160J,https://api.spotify.com/v1/tracks/6Dyg43VP3iKxWQhF2b160J,https://api.spotify.com/v1/audio-analysis/6Dyg43VP3iKxWQhF2b160J,189653,4,Child Of The Moon,The Rolling Stones
2133,0.573,0.438,7,-9.9,1,0.026,0.306,0.0,0.223,0.551,111.803,audio_features,36ptC75Bp6pKICI1lE8QHS,spotify:track:36ptC75Bp6pKICI1lE8QHS,https://api.spotify.com/v1/tracks/36ptC75Bp6pKICI1lE8QHS,https://api.spotify.com/v1/audio-analysis/36ptC75Bp6pKICI1lE8QHS,170120,4,Orange Skies,Love
2135,0.507,0.763,0,-12.732,1,0.0945,0.172,0.886,0.324,0.708,176.193,audio_features,0WSlOSMLJWoWUpWci9nnRb,spotify:track:0WSlOSMLJWoWUpWci9nnRb,https://api.spotify.com/v1/tracks/0WSlOSMLJWoWUpWci9nnRb,https://api.spotify.com/v1/audio-analysis/0WSlOSMLJWoWUpWci9nnRb,186853,4,Cissy Strut,The Meters
2138,0.621,0.826,7,-7.579,1,0.115,0.657,0.562,0.2,0.188,86.921,audio_features,2GB7ikYE06DRBCPU9YhvDI,spotify:track:2GB7ikYE06DRBCPU9YhvDI,https://api.spotify.com/v1/tracks/2GB7ikYE06DRBCPU9YhvDI,https://api.spotify.com/v1/audio-analysis/2GB7ikYE06DRBCPU9YhvDI,383853,4,Masenqo,Mulatu Astatke
2144,0.639,0.186,8,-15.831,1,0.0347,0.704,0.00104,0.118,0.498,128.375,audio_features,2x91iJc0UkFcjRMEZ2CoWB,spotify:track:2x91iJc0UkFcjRMEZ2CoWB,https://api.spotify.com/v1/tracks/2x91iJc0UkFcjRMEZ2CoWB,https://api.spotify.com/v1/audio-analysis/2x91iJc0UkFcjRMEZ2CoWB,586400,4,"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)",Miles Davis
2147,0.368,0.157,0,-13.306,0,0.0256,0.799,3.06e-05,0.114,0.128,97.869,audio_features,465pSbGkS2UnH9ECAr22La,spotify:track:465pSbGkS2UnH9ECAr22La,https://api.spotify.com/v1/tracks/465pSbGkS2UnH9ECAr22La,https://api.spotify.com/v1/audio-analysis/465pSbGkS2UnH9ECAr22La,143680,3,Lonely Sea (Mono),The Beach Boys
2150,0.561,0.257,7,-17.417,1,0.0343,0.858,0.00185,0.0949,0.579,88.276,audio_features,107K6xieSp2ihzoA2vTv2q,spotify:track:107K6xieSp2ihzoA2vTv2q,https://api.spotify.com/v1/tracks/107K6xieSp2ihzoA2vTv2q,https://api.spotify.com/v1/audio-analysis/107K6xieSp2ihzoA2vTv2q,196133,4,Can't Find My Way Home,Blind Faith
2152,0.681,0.897,8,-5.44,1,0.0874,0.672,0.0,0.1,0.852,140.803,audio_features,5lc9L9FeLBwlJPgEbq9uEw,spotify:track:5lc9L9FeLBwlJPgEbq9uEw,https://api.spotify.com/v1/tracks/5lc9L9FeLBwlJPgEbq9uEw,https://api.spotify.com/v1/audio-analysis/5lc9L9FeLBwlJPgEbq9uEw,169856,4,Can You Get To That,Funkadelic
